time,longitude,latitude,pressure_hPa,geopotential height_m,temperature_C,dew point temperature_C,ice point temperature_C,relative humidity_%,humidity wrt ice_%,mixing ratio_g/kg,wind direction_degree,wind speed_m/s
2025-08-03 11:02:17,-83.8212,39.4211, 983.7,  323, 14.2, 11.5, 11.5, 84, 84, 8.69, 65, 3.1
2025-08-03 11:02:18,-83.8213,39.4211, 983.1,  329, 14.3, 11.4, 11.4, 83, 83, 8.66, 81, 6.3
2025-08-03 11:02:19,-83.8214,39.4211, 982.4,  336, 14.4, 11.3, 11.3, 82, 82, 8.60, 81, 6.3
2025-08-03 11:02:20,-83.8215,39.4211, 981.7,  341, 14.5, 11.2, 11.2, 81, 81, 8.54, 81, 6.3
2025-08-03 11:02:21,-83.8216,39.4210, 981.1,  347, 14.6, 11.1, 11.1, 80, 80, 8.48, 81, 6.3
2025-08-03 11:02:22,-83.8218,39.4210, 980.4,  352, 14.6, 11.0, 11.0, 79, 79, 8.41, 81, 6.3
2025-08-03 11:02:23,-83.8219,39.4210, 979.7,  357, 14.7, 10.8, 10.8, 78, 78, 8.35, 81, 6.3
2025-08-03 11:02:24,-83.8220,39.4210, 979.1,  362, 14.8, 10.7, 10.7, 76, 76, 8.29, 81, 6.6
2025-08-03 11:02:25,-83.8221,39.4210, 978.5,  368, 14.9, 10.7, 10.7, 76, 76, 8.25, 80, 6.9
2025-08-03 11:02:26,-83.8222,39.4210, 977.9,  373, 15.1, 10.6, 10.6, 75, 75, 8.24, 80, 7.1
2025-08-03 11:02:27,-83.8223,39.4209, 977.2,  378, 15.2, 10.6, 10.6, 74, 74, 8.23, 80, 7.4
2025-08-03 11:02:28,-83.8224,39.4209, 976.6,  384, 15.3, 10.6, 10.6, 73, 73, 8.22, 79, 7.7
2025-08-03 11:02:29,-83.8225,39.4209, 976.0,  390, 15.4, 10.5, 10.5, 73, 73, 8.21, 79, 8.0
2025-08-03 11:02:30,-83.8226,39.4209, 975.3,  396, 15.5, 10.5, 10.5, 72, 72, 8.20, 79, 8.3
2025-08-03 11:02:31,-83.8227,39.4209, 974.6,  402, 15.6, 10.5, 10.5, 71, 71, 8.18, 78, 8.5
2025-08-03 11:02:32,-83.8228,39.4209, 973.9,  408, 15.7, 10.4, 10.4, 71, 71, 8.17, 78, 8.8
2025-08-03 11:02:33,-83.8230,39.4209, 973.2,  414, 15.8, 10.4, 10.4, 70, 70, 8.16, 78, 8.9
2025-08-03 11:02:34,-83.8231,39.4209, 972.5,  420, 15.9, 10.4, 10.4, 69, 69, 8.14, 78, 9.0
2025-08-03 11:02:35,-83.8232,39.4209, 971.9,  426, 16.1, 10.3, 10.3, 69, 69, 8.12, 78, 9.1
2025-08-03 11:02:36,-83.8233,39.4208, 971.2,  431, 16.2, 10.3, 10.3, 68, 68, 8.11, 79, 9.2
2025-08-03 11:02:37,-83.8234,39.4208, 970.6,  437, 16.3, 10.2, 10.2, 67, 67, 8.09, 79, 9.3
2025-08-03 11:02:38,-83.8236,39.4208, 969.9,  443, 16.4, 10.2, 10.2, 67, 67, 8.09, 79, 9.4
2025-08-03 11:02:39,-83.8237,39.4208, 969.3,  449, 16.5, 10.2, 10.2, 66, 66, 8.08, 79, 9.5
2025-08-03 11:02:40,-83.8238,39.4208, 968.7,  454, 16.7, 10.2, 10.2, 66, 66, 8.08, 79, 9.6
2025-08-03 11:02:41,-83.8239,39.4208, 968.0,  459, 16.8, 10.2, 10.2, 65, 65, 8.08, 79, 9.6
2025-08-03 11:02:42,-83.8240,39.4208, 967.5,  464, 16.9, 10.2, 10.2, 64, 64, 8.07, 79, 9.7
2025-08-03 11:02:43,-83.8242,39.4208, 966.9,  469, 17.0, 10.1, 10.1, 64, 64, 8.06, 79, 9.8
2025-08-03 11:02:44,-83.8243,39.4208, 966.3,  474, 17.2, 10.1, 10.1, 63, 63, 8.05, 79, 9.9
2025-08-03 11:02:45,-83.8244,39.4208, 965.8,  479, 17.3, 10.1, 10.1, 63, 63, 8.05, 79,10.0
2025-08-03 11:02:46,-83.8245,39.4208, 965.2,  484, 17.4, 10.1, 10.1, 62, 62, 8.04, 80,10.0
2025-08-03 11:02:47,-83.8246,39.4208, 964.7,  489, 17.6, 10.0, 10.0, 61, 61, 8.02, 81,10.1
2025-08-03 11:02:48,-83.8248,39.4208, 964.1,  494, 17.7, 10.0, 10.0, 61, 61, 8.01, 81,10.1
2025-08-03 11:02:49,-83.8249,39.4208, 963.6,  498, 17.8, 10.0, 10.0, 60, 60, 8.00, 82,10.1
2025-08-03 11:02:50,-83.8250,39.4208, 963.1,  503, 17.9,  9.9,  9.9, 59, 59, 7.99, 83,10.2
2025-08-03 11:02:51,-83.8251,39.4208, 962.5,  508, 18.0,  9.9,  9.9, 59, 59, 8.00, 84,10.2
2025-08-03 11:02:52,-83.8252,39.4207, 962.0,  512, 18.1,  9.9,  9.9, 59, 59, 7.99, 84,10.3
2025-08-03 11:02:53,-83.8254,39.4207, 961.5,  517, 18.1,  9.9,  9.9, 59, 59, 7.99, 85,10.3
2025-08-03 11:02:54,-83.8255,39.4207, 960.9,  522, 18.2,  9.9,  9.9, 58, 58, 7.98, 86,10.3
2025-08-03 11:02:55,-83.8256,39.4207, 960.4,  527, 18.3,  9.9,  9.9, 58, 58, 7.97, 87,10.4
2025-08-03 11:02:56,-83.8257,39.4207, 959.8,  532, 18.3,  9.8,  9.8, 58, 58, 7.97, 87,10.4
